cash_request_id,amount,status,created_at,created_at_month,created_at_year,cohort,user_id,transfer_type,fees_total_amount
5,100,rejected,2019-12-10 19:05:21.596873+00:00,12,2019,2019-12,804,regular,0
70,100,rejected,2019-12-10 19:50:12.347780+00:00,12,2019,2019-12,231,regular,0
7,100,rejected,2019-12-10 19:13:35.825460+00:00,12,2019,2019-12,191,regular,0
10,99,rejected,2019-12-10 19:16:10.880172+00:00,12,2019,2019-12,761,regular,0
1594,100,rejected,2020-05-06 09:59:38.877376+00:00,5,2020,2020-05,7686,regular,0
2145,100,money_back,2020-05-23 20:58:55.129432+00:00,5,2020,2020-05,9489,regular,0
3512,100,rejected,2020-06-16 17:07:38.452652+00:00,6,2020,2020-06,14631,regular,0
71,90,rejected,2019-12-10 19:51:23.911206+00:00,12,2019,2019-12,897,regular,0
648,1,rejected,2020-02-08 19:20:44.627662+00:00,2,2020,2020-02,2908,regular,0
1794,100,money_back,2020-05-14 21:11:47.393326+00:00,5,2020,2020-05,778,regular,0
655,1,rejected,2020-02-10 13:22:10.013736+00:00,2,2020,2020-02,163,regular,0
2122,100,money_back,2020-05-22 12:47:42.741369+00:00,5,2020,2020-05,8218,regular,0
741,100,rejected,2020-02-27 06:02:27.394185+00:00,2,2020,2020-02,1547,regular,0
83,100,rejected,2019-12-11 07:09:44.687256+00:00,12,2019,2019-12,1248,regular,0
690,100,rejected,2020-02-17 18:22:25.824497+00:00,2,2020,2020-02,939,regular,0
756,70,rejected,2020-02-28 10:13:18.421583+00:00,2,2020,2020-02,821,regular,0
1073,100,rejected,2020-04-08 02:21:48.854449+00:00,4,2020,2020-04,2867,regular,0
600,100,rejected,2020-02-04 07:20:23.854358+00:00,2,2020,2020-02,2872,regular,0
96,100,rejected,2019-12-11 15:06:58.975636+00:00,12,2019,2019-12,781,regular,0
97,100,rejected,2019-12-11 15:47:02.225365+00:00,12,2019,2019-12,945,regular,0
642,1,rejected,2020-02-08 11:38:20.601027+00:00,2,2020,2020-02,2460,regular,0
